竞赛ID,竞赛名称,链接类型,链接地址(原始字段),HTTP状态码,自动检测结果,检测备注,跳转后地址,人工复核结论(可用/失效/待确认),复核人,复核日期
c_001_ai_challenge,2026 全国大学生人工智能创新挑战赛（第八届）,官方通知,https://example.edu.cn/aic2026/notice,,无法访问,无法访问：ConnectionAbortedError,,,,
c_001_ai_challenge,2026 全国大学生人工智能创新挑战赛（第八届）,报名入口,https://example.edu.cn/aic2026/register,,无法访问,证书/连接错误：SSLEOFError,,,,
c_002_biz_plan,2026「创青春」全国大学生创业计划大赛,官方通知,https://example.org/cy2026,404,无法访问（HTTP错误）,HTTP 404,https://example.org/cy2026,,,
imp_001,中国国际大学生创新大赛,官方通知,https://cy.ncss.cn/home,200,可访问（待人工确认页面内容）,,https://cy.ncss.cn/home,,,
imp_001,中国国际大学生创新大赛,报名入口,https://cy.ncss.cn/,200,可访问（待人工确认页面内容）,,https://cy.ncss.cn/,,,
imp_002,「挑战杯」中国大学生创业计划竞赛,官方通知,http://2026.tiaozhanbei.net/,200,可访问（待人工确认页面内容）,,https://2026.tiaozhanbei.net/,,,
imp_002,「挑战杯」中国大学生创业计划竞赛,报名入口,http://2026.tiaozhanbei.net/,200,可访问（待人工确认页面内容）,,https://2026.tiaozhanbei.net/,,,
imp_003,「挑战杯」全国大学生课外学术科技作品竞赛,官方通知,http://www.tiaozhanbei.net/article/15795/,200,可访问（待人工确认页面内容）,,https://www.tiaozhanbei.net/article/15795/,,,
imp_003,「挑战杯」全国大学生课外学术科技作品竞赛,报名入口,http://www.tiaozhanbei.net/,200,可访问（待人工确认页面内容）,,https://www.tiaozhanbei.net/,,,
imp_004,全国大学生电子商务「创新、创意及创业」挑战赛,官方通知,https://www.3chuang.net,200,可访问（待人工确认页面内容）,,https://www.3chuang.net,,,
imp_004,全国大学生电子商务「创新、创意及创业」挑战赛,报名入口,https://www.3chuang.net,200,可访问（待人工确认页面内容）,,https://www.3chuang.net,,,
imp_005,全国大学生广告艺术大赛(大广赛),官方通知,https://www.sun-ada.net/about_intrs2.html,200,可访问（待人工确认页面内容）,,https://www.sun-ada.net/about_intrs2.html,,,
imp_005,全国大学生广告艺术大赛(大广赛),报名入口,https://www.sun-ada.net/,200,可访问（待人工确认页面内容）,,https://www.sun-ada.net/,,,
imp_006,"全国大学生英语竞赛(NECCS,大英赛)",官方通知,http://neccs.saikr.com/,200,可访问（待人工确认页面内容）,,https://neccs.saikr.com/,,,
imp_006,"全国大学生英语竞赛(NECCS,大英赛)",报名入口,https://www.chinaneccs.cn/(或 https://www.saikr.com/vse/neccs/),200,可访问（待人工确认页面内容）,已剔除链接后的附带说明：(或 https://www.saikr.com/vse/neccs/),https://www.chinaneccs.cn/,,,
imp_007,iCAN大学生创新创业大赛,官方通知,(官网 http://www.g-ican.com/ 暂未发布本届详细通知),200,可访问（待人工确认页面内容）,字段为说明文字，已从中提取链接：(官网 http://www.g-ican.com/ 暂未发布本届详细通知),http://www.g-ican.com/,,,
imp_007,iCAN大学生创新创业大赛,报名入口,http://www.g-ican.com/,200,可访问（待人工确认页面内容）,,http://www.g-ican.com/,,,
imp_008,首届「AI·紫金」中国大学生短视频大赛,官方通知,https://www.sohu.com/a/1072127855_121123834,200,可访问（待人工确认页面内容）,,https://www.sohu.com/a/1072127855_121123834,,,
imp_008,首届「AI·紫金」中国大学生短视频大赛,报名入口,https://www.kdocs.cn/l/ctBlM8PtEbuL(南传摄影学院报名表),200,可访问（待人工确认页面内容）,已剔除链接后的附带说明：(南传摄影学院报名表),https://account.kdocs.cn/passport/singlesign?cb=https%3A%2F%2Fwww.kdocs.cn%2Fl%2FctBlM8PtEbuL&appid=375024576&f=c,,,
imp_009,第七届短视频大赛暨第五届大学生短视频大赛,官方通知,https://baike.baidu.com/item/第七届短视频大赛暨第五届大学生短视频大赛,403,无法访问（HTTP错误）,HTTP 403,https://baike.baidu.com/item/%E7%AC%AC%E4%B8%83%E5%B1%8A%E7%9F%AD%E8%A7%86%E9%A2%91%E5%A4%A7%E8%B5%9B%E6%9A%A8%E7%AC%AC%E4%BA%94%E5%B1%8A%E5%A4%A7%E5%AD%A6%E7%94%9F%E7%9F%AD%E8%A7%86%E9%A2%91%E5%A4%A7%E8%B5%9B,,,
imp_009,第七届短视频大赛暨第五届大学生短视频大赛,报名入口,上海电视艺术家协会官方公众号(报名通道已关闭),,非链接内容（需改为空并在备注说明）,字段内容不是有效链接（应为空并把情况写入复核备注）：上海电视艺术家协会官方公众号(报名通道已关闭),,,,
imp_010,「新视界·新传播」首届全国大学生短视频征稿大赛,官方通知,https://www.1zhengji.com/a/4kqn34a.html,200,可访问（待人工确认页面内容）,可访问但证书异常,https://www.1zhengji.com/a/4kqn34a.html,,,
imp_010,「新视界·新传播」首届全国大学生短视频征稿大赛,报名入口,投稿邮箱 tyxwxzds@163.com,,非链接内容（需改为空并在备注说明）,字段内容不是有效链接（应为空并把情况写入复核备注）：投稿邮箱 tyxwxzds@163.com,,,,
imp_011,全国大学生英语作文大赛(NEWCCS),官方通知,(赛氪网官方通知),,非链接内容（需改为空并在备注说明）,字段内容不是有效链接（应为空并把情况写入复核备注）：(赛氪网官方通知),,,,
imp_011,全国大学生英语作文大赛(NEWCCS),报名入口,赛氪网官方通知页面,,非链接内容（需改为空并在备注说明）,字段内容不是有效链接（应为空并把情况写入复核备注）：赛氪网官方通知页面,,,,
imp_012,第五届大学生新媒体大赛,官方通知,https://www.saikr.com/vse/XMTDX2026,200,可访问（待人工确认页面内容）,,https://new.saikr.com/vse/XMTDX2026,,,
imp_012,第五届大学生新媒体大赛,报名入口,https://www.saikr.com/vse/XMTDX2026,200,可访问（待人工确认页面内容）,,https://new.saikr.com/vse/XMTDX2026,,,
imp_013,全国大学生数学建模竞赛,官方通知,http://www.mcm.edu.cn/,200,可访问（待人工确认页面内容）,,https://www.mcm.edu.cn/,,,
imp_013,全国大学生数学建模竞赛,报名入口,http://www.mcm.edu.cn/,200,可访问（待人工确认页面内容）,,https://www.mcm.edu.cn/,,,
imp_014,全国大学生电子设计竞赛(电赛),官方通知,(电赛组委会官方通知),,非链接内容（需改为空并在备注说明）,字段内容不是有效链接（应为空并把情况写入复核备注）：(电赛组委会官方通知),,,,
imp_014,全国大学生电子设计竞赛(电赛),报名入口,电赛组委会官方,,非链接内容（需改为空并在备注说明）,字段内容不是有效链接（应为空并把情况写入复核备注）：电赛组委会官方,,,,
imp_015,中国大学生计算机设计大赛(4C),官方通知,https://jsjds.blcu.edu.cn/,200,可访问（待人工确认页面内容）,,https://jsjds.blcu.edu.cn/,,,
imp_015,中国大学生计算机设计大赛(4C),报名入口,https://jsjds.blcu.edu.cn/,200,可访问（待人工确认页面内容）,,https://jsjds.blcu.edu.cn/,,,
